Model,Dataset,Accuracy,Size
llama-32-3B-es,andreanasuto/mig-de-L3,0.5466666666666666,75
llama-32-3B-es,andreanasuto/mig-fr-L3,0.5066666666666667,75
llama-32-3B-es,andreanasuto/mig-hi-L3,0.8133333333333334,75
llama-32-3B-es,andreanasuto/mig-hu-L3,0.5866666666666667,75
llama-32-3B-es,andreanasuto/mig-in-L3,0.8933333333333333,75
llama-32-3B-es,andreanasuto/mig-it-L3,0.6133333333333333,75
llama-32-3B-es,andreanasuto/mig-pt-L3,0.7333333333333333,75
llama-32-3B-es,andreanasuto/mig-tr-L3,0.6533333333333333,75
llama-32-3B-es,andreanasuto/mig-pl-L3,0.5066666666666667,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-en-L3,0.8062222222222222,1125
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-es-L3,0.7586666666666667,750
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-multi-L3,0.7908571428571428,2625
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-ar-L3,0.7333333333333333,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-de-L3,0.7466666666666667,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-fr-L3,0.68,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-hi-L3,0.7866666666666666,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-hu-L3,0.7466666666666667,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-in-L3,0.92,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-it-L3,0.7333333333333333,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-pt-L3,0.88,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-tr-L3,0.8,75
llama-32-3B-multi-Q4_K_M,andreanasuto/mig-pl-L3,0.7333333333333333,75
llama-32-3B-multi,andreanasuto/mig-en-L3,0.816,1125
llama-32-3B-multi,andreanasuto/mig-es-L3,0.7933333333333333,750
llama-32-3B-multi,andreanasuto/mig-multi-L3,0.8083809523809524,2625
llama-32-3B-multi,andreanasuto/mig-ar-L3,0.7733333333333333,75
llama-32-3B-multi,andreanasuto/mig-de-L3,0.7333333333333333,75
llama-32-3B-multi,andreanasuto/mig-fr-L3,0.6666666666666666,75
llama-32-3B-multi,andreanasuto/mig-hi-L3,0.7866666666666666,75
llama-32-3B-multi,andreanasuto/mig-hu-L3,0.8133333333333334,75
llama-32-3B-multi,andreanasuto/mig-in-L3,0.9333333333333333,75
llama-32-3B-multi,andreanasuto/mig-it-L3,0.7333333333333333,75
llama-32-3B-multi,andreanasuto/mig-pt-L3,0.88,75
llama-32-3B-multi,andreanasuto/mig-tr-L3,0.8666666666666667,75
llama-32-3B-multi,andreanasuto/mig-pl-L3,0.7066666666666667,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-en-L3,0.816,1125
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-es-L3,0.776,750
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-multi-L3,0.7619047619047619,2625
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-ar-L3,0.6533333333333333,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-de-L3,0.6,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-fr-L3,0.4666666666666667,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-hi-L3,0.7733333333333333,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-hu-L3,0.5466666666666666,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-in-L3,0.88,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-it-L3,0.6533333333333333,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-pt-L3,0.6933333333333334,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-tr-L3,0.6933333333333334,75
llama32-3B-mig-en-es-full-Q4_K_M,andreanasuto/mig-pl-L3,0.52,75
